"","name","longitude","latitude"
"1","Clangula hyemalis",-70.2786,41.41689
"2","Clangula hyemalis",-70.19412,41.39625
"3","Clangula hyemalis",-70.24886,41.37898
"4","Clangula hyemalis",-70.25317,41.512
"5","Clangula hyemalis",-70.2778,41.39508
"6","Clangula hyemalis",-70.27775,41.39216
"7","Clangula hyemalis",-70.17188,41.53437
"8","Clangula hyemalis",-70.06393,41.51042
"9","Clangula hyemalis",-70.19692,41.55767
"10","Clangula hyemalis",-70.25654,41.50492
"11","Clangula hyemalis",-70.1746,41.5711
"12","Clangula hyemalis",-70.06105,41.5518
"13","Clangula hyemalis",-70.17397,41.34903
"14","Clangula hyemalis",-70.27805,41.363
"15","Clangula hyemalis",-70.30882,41.48901
"16","Clangula hyemalis",-70.17592,41.38695
"17","Clangula hyemalis",-70.05988,41.5893
"18","Clangula hyemalis",-70.2781,41.3667
"19","Clangula hyemalis",-70.06023,41.4674
"20","Clangula hyemalis",-70.1707,41.53696
"21","Clangula hyemalis",-70.17282,41.50655
"22","Clangula hyemalis",-70.05994,41.47773
"23","Clangula hyemalis",-70.17398,41.43367
"24","Clangula hyemalis",-70.25151,41.35655
"25","Clangula hyemalis",-70.11727,41.47564
"26","Clangula hyemalis",-70.229,41.51477
"27","Clangula hyemalis",-70.33968,41.36699
"28","Clangula hyemalis",-70.19793,41.33575
"29","Clangula hyemalis",-70.25162,41.41403
"30","Clangula hyemalis",-70.11552,41.59798
"31","Clangula hyemalis",-70.05819,41.42814
"32","Clangula hyemalis",-70.24815,41.39491
"33","Clangula hyemalis",-70.27889,41.42104
"34","Clangula hyemalis",-70.14748,41.58695
"35","Clangula hyemalis",-70.27748,41.48771
"36","Clangula hyemalis",-70.14694,41.51786
"37","Clangula hyemalis",-70.05775,41.39935
"38","Clangula hyemalis",-70.25127,41.35768
"39","Clangula hyemalis",-70.36028,41.48042
"40","Clangula hyemalis",-70.0586,41.4354
"41","Clangula hyemalis",-70.28298,41.42551
"42","Clangula hyemalis",-70.17053,41.57012
"43","Clangula hyemalis",-70.05953,41.57619
"44","Clangula hyemalis",-70.2527,41.34835
"45","Clangula hyemalis",-70.118,41.4107
"46","Clangula hyemalis",-70.27853,41.54455
"47","Clangula hyemalis",-70.11616,41.45687
"48","Clangula hyemalis",-70.03373,41.57715
"49","Clangula hyemalis",-70.11698,41.4611
"50","Clangula hyemalis",-70.38628,41.485
"51","Clangula hyemalis",-70.33286,41.52772
"52","Clangula hyemalis",-70.17713,41.37211
"53","Clangula hyemalis",-70.38892,41.48009
"54","Clangula hyemalis",-70.17091,41.5751
"55","Clangula hyemalis",-70.14784,41.55199
"56","Clangula hyemalis",-70.3335,41.53947
"57","Clangula hyemalis",-70.0344,41.58346
"58","Clangula hyemalis",-70.19801,41.36702
"59","Clangula hyemalis",-70.03227,41.57673
"60","Clangula hyemalis",-70.06002,41.4726
"61","Clangula hyemalis",-70.22445,41.47832
"62","Clangula hyemalis",-70.36075,41.49567
"63","Clangula hyemalis",-70.33292,41.5695
"64","Clangula hyemalis",-70.17074,41.5298
"65","Clangula hyemalis",-70.25183,41.34578
"66","Clangula hyemalis",-70.0874,41.35423
"67","Clangula hyemalis",-70.33935,41.36218
"68","Clangula hyemalis",-70.03352,41.53307
"69","Clangula hyemalis",-70.03338,41.53223
"70","Clangula hyemalis",-70.25032,41.36958
"71","Clangula hyemalis",-70.19695,41.34292
"72","Clangula hyemalis",-70.03219,41.6014
"73","Clangula hyemalis",-70.02983,41.48602
"74","Clangula hyemalis",-70.1945,41.38166
"75","Clangula hyemalis",-70.03609,41.54297
"76","Clangula hyemalis",-70.3345,41.35687
"77","Clangula hyemalis",-70.0594,41.5773
"78","Clangula hyemalis",-70.13857,41.34313
"79","Clangula hyemalis",-70.05819,41.6012
"80","Clangula hyemalis",-70.3584,41.37085
"81","Clangula hyemalis",-70.19991,41.42009
"82","Clangula hyemalis",-70.08775,41.54903
"83","Clangula hyemalis",-70.11913,41.43469
