"","name","longitude","latitude"
"1","Alca torda",-70.30728,41.38203
"2","Alca torda",-70.17112,41.48225
"3","Alca torda",-70.13965,41.42755
"4","Alca torda",-70.36118,41.45318
"5","Alca torda",-70.41672,41.37565
"6","Alca torda",-70.35843,41.43856
"7","Alca torda",-70.38247,41.39666
"8","Alca torda",-70.27837,41.41734
"9","Alca torda",-70.27828,41.40568
"10","Alca torda",-70.39895,41.35531
"11","Alca torda",-70.3342,41.419
"12","Alca torda",-70.17082,41.47592
"13","Alca torda",-70.33363,41.53587
"14","Alca torda",-70.27775,41.47882
"15","Alca torda",-70.05857,41.3518
"16","Alca torda",-70.0905,41.55025
"17","Alca torda",-70.39043,41.41205
"18","Alca torda",-70.3612,41.45942
"19","Alca torda",-70.17282,41.54756
"20","Alca torda",-70.06062,41.42255
"21","Alca torda",-70.1721,41.34572
"22","Alca torda",-70.2794,41.47367
"23","Alca torda",-70.38422,41.41839
"24","Alca torda",-70.27762,41.48582
"25","Alca torda",-70.11646,41.5688
"26","Alca torda",-70.11713,41.46
"27","Alca torda",-70.38893,41.47075
"28","Alca torda",-70.08405,41.52851
"29","Alca torda",-70.3586,41.37363
"30","Alca torda",-70.11395,41.49006
"31","Alca torda",-70.2787,41.54967
"32","Alca torda",-70.38892,41.4782
"33","Alca torda",-70.33592,41.55415
"34","Alca torda",-70.27861,41.4459
"35","Alca torda",-70.36205,41.37441
"36","Alca torda",-70.27993,41.45995
"37","Alca torda",-70.27813,41.36372
"38","Alca torda",-70.41773,41.44773
"39","Alca torda",-70.33683,41.45468
"40","Alca torda",-70.11643,41.47455
"41","Alca torda",-70.35978,41.53997
"42","Alca torda",-70.11613,41.46773
"43","Alca torda",-70.25105,41.36585
"44","Alca torda",-70.41631,41.3676
"45","Alca torda",-70.416,41.36403
"46","Alca torda",-70.27785,41.48206
"47","Alca torda",-70.39022,41.53335
"48","Alca torda",-70.3073,41.46655
"49","Alca torda",-70.38648,41.48954
"50","Alca torda",-70.09016,41.53297
"51","Alca torda",-70.17461,41.47325
"52","Alca torda",-70.08491,41.5388
"53","Alca torda",-70.2514,41.39068
"54","Alca torda",-70.19963,41.4998
"55","Alca torda",-70.3898,41.56115
"56","Alca torda",-70.33717,41.40873
"57","Alca torda",-70.40013,41.4239
"58","Alca torda",-70.08885,41.4184
"59","Alca torda",-70.35963,41.39367
"60","Alca torda",-70.2278,41.33909
"61","Alca torda",-70.05986,41.4498
"62","Alca torda",-70.41578,41.36139
"63","Alca torda",-70.28712,41.3894
"64","Alca torda",-70.27817,41.47242
"65","Alca torda",-70.35878,41.37642
"66","Alca torda",-70.06108,41.59491
"67","Alca torda",-70.38317,41.3854
"68","Alca torda",-70.35976,41.4677
"69","Alca torda",-70.38615,41.47707
"70","Alca torda",-70.33787,41.53699
"71","Alca torda",-70.17478,41.46625
"72","Alca torda",-70.25129,41.37672
"73","Alca torda",-70.33193,41.52996
"74","Alca torda",-70.33465,41.36282
"75","Alca torda",-70.39854,41.36845
"76","Alca torda",-70.3367,41.48307
"77","Alca torda",-70.11735,41.40243
"78","Alca torda",-70.06083,41.5973
"79","Alca torda",-70.05957,41.47904
"80","Alca torda",-70.05808,41.42382
"81","Alca torda",-70.27715,41.38385
"82","Alca torda",-70.17024,41.39707
"83","Alca torda",-70.0596,41.50569
"84","Alca torda",-70.1719,41.53058
"85","Alca torda",-70.11673,41.50273
"86","Alca torda",-70.35825,41.4305
"87","Alca torda",-70.11816,41.45097
"88","Alca torda",-70.35852,41.3727
"89","Alca torda",-70.33243,41.44159
"90","Alca torda",-70.17012,41.49782
"91","Alca torda",-70.17458,41.4612
"92","Alca torda",-70.22855,41.54058
"93","Alca torda",-70.1165,41.38841
"94","Alca torda",-70.22815,41.389
"95","Alca torda",-70.36088,41.34047
"96","Alca torda",-70.33413,41.41538
"97","Alca torda",-70.38917,41.45689
"98","Alca torda",-70.3825,41.40347
"99","Alca torda",-70.38893,41.47633
"100","Alca torda",-70.33343,41.52624
"101","Alca torda",-70.17193,41.52485
"102","Alca torda",-70.33688,41.54652
"103","Alca torda",-70.35872,41.37548
"104","Alca torda",-70.27672,41.4079
"105","Alca torda",-70.30911,41.48124
"106","Alca torda",-70.06175,41.58437
"107","Alca torda",-70.27815,41.53735
"108","Alca torda",-70.38892,41.46983
"109","Alca torda",-70.27834,41.4764
"110","Alca torda",-70.19698,41.50965
"111","Alca torda",-70.27966,41.47157
"112","Alca torda",-70.13977,41.42937
"113","Alca torda",-70.03194,41.546
"114","Alca torda",-70.05938,41.44461
"115","Alca torda",-70.35916,41.39274
"116","Alca torda",-70.25636,41.50057
"117","Alca torda",-70.16948,41.36522
"118","Alca torda",-70.19747,41.54234
"119","Alca torda",-70.17115,41.47163
"120","Alca torda",-70.38892,41.48009
"121","Alca torda",-70.08472,41.47298
"122","Alca torda",-70.30697,41.43481
"123","Alca torda",-70.38255,41.40575
"124","Alca torda",-70.03307,41.51943
"125","Alca torda",-70.22752,41.33739
"126","Alca torda",-70.27773,41.48394
